Wavelength,Flux
3649.0,3.1682987344794356e-09
3650.0,3.181475083380292e-09
3651.0,3.189187136598548e-09
3652.0,3.193497022380143e-09
3653.0,3.192625719350417e-09
3654.0,3.1885882822990652e-09
3655.0,3.1748144113663557e-09
3656.0,3.169831730431838e-09
3657.0,3.183387775607116e-09
3658.0,3.179087659788138e-09
3659.0,3.1653721865865236e-09
3660.0,3.1589515447905114e-09
3661.0,3.1532971789260955e-09
3662.0,3.167625495237303e-09
3663.0,3.1702453995308133e-09
3664.0,3.1656446353167667e-09
3665.0,3.1655777998906842e-09
3666.0,3.1650906340274787e-09
3667.0,3.1419644663799318e-09
3668.0,3.1339626449522484e-09
3669.0,3.1240787734532205e-09
3670.0,3.1234712594141456e-09
3671.0,3.1265934286039965e-09
3672.0,3.1091813568195903e-09
3673.0,3.101661594229199e-09
3674.0,3.094056566510517e-09
3675.0,3.0895621616622293e-09
3676.0,3.078985955085045e-09
3677.0,3.0629105918222876e-09
3678.0,3.053546748787994e-09
3679.0,3.0655373794985508e-09
3680.0,3.070515397496365e-09
3681.0,3.0797899785994787e-09
3682.0,3.064274389785737e-09
3683.0,3.040426799216789e-09
3684.0,2.9997058170749824e-09
3685.0,2.9811471069507434e-09
3686.0,2.999618109456037e-09
3687.0,3.0314117882568326e-09
3688.0,3.0875511036754233e-09
3689.0,3.0512554705097727e-09
3690.0,3.0191498190390575e-09
3691.0,2.990977909789194e-09
3692.0,3.014909877308014e-09
3693.0,3.0821889485110887e-09
3694.0,3.067225140540586e-09
3695.0,3.0329700972941964e-09
3696.0,2.943846277858597e-09
3697.0,2.9416922231462195e-09
3698.0,3.067423648417389e-09
3699.0,3.124921210684306e-09
3700.0,3.1786409060430287e-09
3701.0,3.0745070933591023e-09
3702.0,3.0028066699827605e-09
3703.0,2.8030111565158222e-09
3704.0,2.807202692522992e-09
3705.0,2.867404980122501e-09
3706.0,3.054586583672858e-09
3707.0,3.1710827297359856e-09
3708.0,3.16425707858059e-09
3709.0,3.074162036043049e-09
3710.0,2.7731050789014944e-09
3711.0,2.683868682851198e-09
3712.0,2.63517030418825e-09
3713.0,2.921796360411122e-09
3714.0,3.061914721769199e-09
3715.0,3.436589457450623e-09
3716.0,3.4827629669109683e-09
3717.0,3.503843215568736e-09
3718.0,3.2690541384994276e-09
3719.0,3.1147133761066925e-09
3720.0,2.624416461927126e-09
3721.0,2.557875911080032e-09
3722.0,2.5407786985454095e-09
3723.0,2.824870559692272e-09
3724.0,3.0648830140478367e-09
3725.0,3.525893799150026e-09
3726.0,3.6476617282232837e-09
3727.0,3.866400977159401e-09
3728.0,3.8515550748741134e-09
3729.0,3.804374149041223e-09
3730.0,3.488139777019228e-09
3731.0,3.3110900687916e-09
3732.0,2.7141495717586395e-09
3733.0,2.544142230220814e-09
3734.0,2.334977100559854e-09
3735.0,2.528841358540035e-09
3736.0,2.6739481739923576e-09
3737.0,3.3372096197581413e-09
3738.0,3.5552141230965617e-09
3739.0,4.0393999256593816e-09
3740.0,4.222496574612933e-09
3741.0,4.353938987122774e-09
3742.0,4.373397199941564e-09
3743.0,4.336246917091557e-09
3744.0,4.082852278486371e-09
3745.0,3.849519369936161e-09
3746.0,3.523545677452944e-09
3747.0,2.9915760979548622e-09
3748.0,2.7531157353877234e-09
3749.0,2.329376247445225e-09
3750.0,2.3760686751472804e-09
3751.0,2.565289536349269e-09
3752.0,2.998817860699887e-09
3753.0,3.265895998083579e-09
3754.0,3.901230005709522e-09
3755.0,4.068914982724436e-09
3756.0,4.44399050891775e-09
3757.0,4.5848835839024105e-09
3758.0,4.7086006205177e-09
3759.0,4.822136911997177e-09
3760.0,4.839254774680057e-09
3761.0,4.738256897951487e-09
3762.0,4.661105723613446e-09
3763.0,4.52538140294223e-09
3764.0,4.228419836493913e-09
3765.0,4.058963831710116e-09
3766.0,3.4897880141215865e-09
3767.0,3.235389289812929e-09
