Wavelength,Flux
3855.0,2.6591189319913333e-11
3856.0,2.6509737113822318e-11
3857.0,2.6416995327349646e-11
3858.0,2.62424301039621e-11
3859.0,2.6126267815840265e-11
3860.0,2.6023098606553496e-11
3861.0,2.6196305541459353e-11
3862.0,2.6309456349626892e-11
3863.0,2.56963391537246e-11
3864.0,2.5612076695602504e-11
3865.0,2.530640627607106e-11
3866.0,2.5368891015675743e-11
3867.0,2.541001437039725e-11
3868.0,2.548816539771348e-11
3869.0,2.550919024624232e-11
3870.0,2.5300136985428878e-11
3871.0,2.530236610509551e-11
3872.0,2.5386231311541607e-11
3873.0,2.5547463450292796e-11
3874.0,2.5601956318843655e-11
3875.0,2.5450908741619926e-11
3876.0,2.5483250926106038e-11
3877.0,2.5565263447879794e-11
3878.0,2.571845861276678e-11
3879.0,2.5807319822823693e-11
3880.0,2.5845397003121384e-11
3881.0,2.5832556579952204e-11
3882.0,2.5799591629738217e-11
3883.0,2.5626823579871782e-11
3884.0,2.5450324139808522e-11
3885.0,2.461364445593972e-11
3886.0,2.4259518005553815e-11
3887.0,2.3410967608938904e-11
3888.0,2.3253626454944332e-11
3889.0,2.3162274181975917e-11
3890.0,2.3025000309151444e-11
3891.0,2.3105954649604854e-11
3892.0,2.375642738083883e-11
3893.0,2.4233030512799125e-11
3894.0,2.523452280467353e-11
3895.0,2.587310227175621e-11
3896.0,2.6208563097540605e-11
3897.0,2.6433509894840945e-11
3898.0,2.6397018251800297e-11
3899.0,2.6359808433240595e-11
3900.0,2.642582853928932e-11
3901.0,2.6514420867207456e-11
3902.0,2.6486191712082885e-11
3903.0,2.647322812354691e-11
3904.0,2.63795287697155e-11
3905.0,2.641419548365942e-11
3906.0,2.6428656138555162e-11
3907.0,2.6400352390321125e-11
3908.0,2.6369819522420457e-11
3909.0,2.6305135153448234e-11
3910.0,2.63490271268374e-11
3911.0,2.64611769995593e-11
3912.0,2.64829772694819e-11
3913.0,2.6520155863019035e-11
3914.0,2.632519896517138e-11
3915.0,2.6285210119603164e-11
3916.0,2.6127681615473186e-11
3917.0,2.6127870700332068e-11
3918.0,2.6106014919258236e-11
3919.0,2.606349858158552e-11
3920.0,2.6015190002226518e-11
3921.0,2.555656380964777e-11
3922.0,2.543844648816851e-11
3923.0,2.5246449028570872e-11
3924.0,2.5169283324188996e-11
3925.0,2.5168299735978117e-11
3926.0,2.5143874829436363e-11
3927.0,2.5251139720849913e-11
3928.0,2.552100891728415e-11
3929.0,2.5664201666608655e-11
3930.0,2.5744859369347672e-11
3931.0,2.6138632924777028e-11
3932.0,2.608347912658182e-11
3933.0,2.5121701593966428e-11
3934.0,2.4493837513794858e-11
3935.0,2.392917981819398e-11
3936.0,2.5044848139810227e-11
3937.0,2.5622488505905316e-11
3938.0,2.6484156881445564e-11
