Wavelength,Flux
3918.0,5.412479145427973e-11
3919.0,5.345172221504768e-11
3920.0,5.333246344552123e-11
3921.0,5.3177441616814036e-11
3922.0,5.2641700026834215e-11
3923.0,5.207360931347438e-11
3924.0,5.162776456346663e-11
3925.0,5.1508439874448086e-11
3926.0,5.155486801355913e-11
3927.0,5.254956886302509e-11
3928.0,5.417899115456315e-11
3929.0,5.520247106649556e-11
3930.0,5.569076796940742e-11
3931.0,5.327817353961706e-11
3932.0,5.255853738339589e-11
3933.0,5.080683443403622e-11
3934.0,5.170629896467105e-11
3935.0,5.238262601459098e-11
3936.0,5.387362431164e-11
3937.0,5.411817868838931e-11
3938.0,5.421378623804429e-11
3939.0,5.4505427948825513e-11
3940.0,5.484184634196865e-11
3941.0,5.5027475631685974e-11
3942.0,5.5069209609071024e-11
3943.0,5.4815967737154025e-11
3944.0,5.433113681174717e-11
3945.0,5.3461353399786304e-11
3946.0,5.277306022732908e-11
3947.0,5.2411738143964826e-11
3948.0,5.321540430536231e-11
3949.0,5.341561221117175e-11
3950.0,5.3894590179570656e-11
3951.0,5.340399650277661e-11
3952.0,5.3001887601045183e-11
3953.0,5.217331774942657e-11
3954.0,5.2031639413696595e-11
3955.0,5.207554526487357e-11
3956.0,5.2481193002495985e-11
3957.0,5.2990490467808016e-11
3958.0,5.3056836701870225e-11
3959.0,5.3018461149134666e-11
3960.0,5.1504672055058265e-11
3961.0,5.128365440643101e-11
3962.0,5.0848669025382875e-11
3963.0,4.966644803761078e-11
3964.0,4.898622132931685e-11
3965.0,4.838824479991288e-11
3966.0,4.7551063780959524e-11
3967.0,4.489998997603273e-11
3968.0,4.17995534018889e-11
3969.0,3.903278741890226e-11
3970.0,3.9960409980999145e-11
3971.0,4.0960106834075916e-11
3972.0,4.6632048916750435e-11
3973.0,4.82084684672035e-11
3974.0,5.0365336901059266e-11
3975.0,5.0722842592776374e-11
3976.0,5.088257939989127e-11
3977.0,5.201645017494094e-11
3978.0,5.20123805136663e-11
3979.0,5.200357158785529e-11
3980.0,5.2284010454428653e-11
3981.0,5.246049428198063e-11
3982.0,5.280334849921964e-11
3983.0,5.26645775600354e-11
3984.0,5.201543015753707e-11
3985.0,5.2384124815674227e-11
3986.0,5.2742178680009744e-11
3987.0,5.3001249222806024e-11
3988.0,5.2985338339084365e-11
3989.0,5.230270036515883e-11
3990.0,5.2016720791803195e-11
3991.0,5.158974636376712e-11
3992.0,5.1277211643441234e-11
3993.0,5.1142614448940193e-11
3994.0,5.1003565953999797e-11
3995.0,5.1433975134518306e-11
3996.0,5.246402617897772e-11
3997.0,5.254869109294624e-11
3998.0,5.260684596275489e-11
3999.0,5.2038744841054196e-11
4000.0,5.1716648324928727e-11
4001.0,5.0630194481371404e-11
4002.0,5.0736307516396906e-11
4003.0,5.084839146962672e-11
4004.0,5.105901118573897e-11
4005.0,5.1157536540280546e-11
4006.0,5.1611371426618646e-11
4007.0,5.107133813075926e-11
4008.0,5.0190372691272245e-11
4009.0,5.000856673209597e-11
4010.0,4.9922212197461846e-11
4011.0,5.1599325506801463e-11
4012.0,5.151565632410815e-11
4013.0,5.118368229251047e-11
4014.0,5.159260518805553e-11
4015.0,5.1898856739951427e-11
4016.0,5.296096200479994e-11
4017.0,5.28320477644062e-11
4018.0,5.139974557089033e-11
4019.0,5.128089619610421e-11
4020.0,5.114432835573446e-11
4021.0,5.1516749199898015e-11
4022.0,5.143602210821996e-11
4023.0,4.841621201179258e-11
4024.0,4.6468523473564005e-11
4025.0,4.2989192067244275e-11
4026.0,4.4033873769500076e-11
4027.0,4.457990226969244e-11
4028.0,4.961630412081419e-11
4029.0,5.0445977256563523e-11
4030.0,5.2191362343023684e-11
4031.0,5.236689207266387e-11
4032.0,5.251019757901432e-11
4033.0,5.1978487486392666e-11
4034.0,5.195974206451126e-11
4035.0,5.240401515504978e-11
4036.0,5.2142564571644456e-11
4037.0,5.1815614299233204e-11
4038.0,5.185389270745411e-11
4039.0,5.183963674992853e-11
4040.0,5.117926221709368e-11
4041.0,5.111946629887676e-11
4042.0,5.100229266696843e-11
4043.0,5.118745011190029e-11
4044.0,5.129354579969103e-11
4045.0,5.1910521020603895e-11
4046.0,5.2005497130913625e-11
4047.0,5.2175170434098916e-11
4048.0,5.221067328475826e-11
4049.0,5.2242224435339324e-11
4050.0,5.2781213427666174e-11
4051.0,5.28173095537543e-11
4052.0,5.228407637392074e-11
4053.0,5.225307339595808e-11
4054.0,5.221081553208329e-11
4055.0,5.247941317620963e-11
4056.0,5.2561198449208035e-11
4057.0,5.142554090897811e-11
4058.0,5.130411373510668e-11
4059.0,5.104235437092264e-11
4060.0,5.151425119809261e-11
4061.0,5.180997991738323e-11
4062.0,5.185757726011708e-11
4063.0,5.1952862151205537e-11
