Wavelength,Flux
3360.0,5.676729225578825e-11
3361.0,5.53394587099465e-11
3362.0,5.505109215708792e-11
3363.0,5.4864380399921586e-11
3364.0,5.7087553434476135e-11
3365.0,5.7950470810919086e-11
3366.0,5.836278682558316e-11
3367.0,5.781547463001857e-11
3368.0,5.631166713482294e-11
3369.0,5.5168699469865246e-11
3370.0,5.456094950839763e-11
3371.0,5.462738941752754e-11
3372.0,5.4938220639400015e-11
3373.0,5.5539312732166835e-11
3374.0,5.527256083381893e-11
3375.0,5.502478681029821e-11
3376.0,5.557730664573768e-11
3377.0,5.598674301943163e-11
3378.0,5.7196629377198605e-11
3379.0,5.7242554446501615e-11
3380.0,5.7149535104272786e-11
3381.0,5.701748795328143e-11
3382.0,5.705012851020541e-11
3383.0,5.7167697659066263e-11
3384.0,5.735036057163967e-11
3385.0,5.77299319459712e-11
3386.0,5.843254352599914e-11
3387.0,5.884580323023414e-11
3388.0,5.902274502478377e-11
3389.0,5.869822683468584e-11
3390.0,5.750635731494036e-11
3391.0,5.768040212128511e-11
3392.0,5.7871884368010384e-11
3393.0,5.868187880064824e-11
3394.0,5.871159808323867e-11
3395.0,5.768746244583234e-11
3396.0,5.813112144426036e-11
3397.0,5.883410425511215e-11
3398.0,6.002630337231807e-11
3399.0,6.045252493036557e-11
3400.0,5.841553629704066e-11
3401.0,5.835127520059658e-11
3402.0,5.833439981062227e-11
3403.0,5.687129586706696e-11
3404.0,5.591382912228937e-11
3405.0,5.655491006062441e-11
3406.0,5.687157689227007e-11
3407.0,5.784846907053165e-11
3408.0,5.7013695847762946e-11
3409.0,5.6036234680201247e-11
3410.0,5.602201341714519e-11
3411.0,5.6257543762372464e-11
3412.0,5.848490441939802e-11
3413.0,5.882639514398491e-11
3414.0,5.922935059077261e-11
3415.0,5.8209784215002e-11
3416.0,5.773314118440176e-11
3417.0,5.7503505429545854e-11
3418.0,5.78134866369151e-11
3419.0,5.884766979269429e-11
3420.0,5.942851072360256e-11
3421.0,5.99169533432864e-11
3422.0,5.850595008460857e-11
3423.0,5.814041609264464e-11
3424.0,5.7556338167730203e-11
3425.0,5.825766258293896e-11
3426.0,5.915674894385603e-11
3427.0,5.994948287790791e-11
3428.0,6.023517101771958e-11
3429.0,6.025913101836977e-11
3430.0,6.036707939083286e-11
3431.0,6.058383655860311e-11
3432.0,5.994287011201749e-11
3433.0,5.953573745109964e-11
3434.0,5.844940503818563e-11
3435.0,5.853614121198447e-11
3436.0,5.8901487853813e-11
3437.0,5.906441308267674e-11
3438.0,5.929204349719441e-11
3439.0,5.938820962780866e-11
3440.0,5.929941954141427e-11
3441.0,5.783529558045508e-11
3442.0,5.783670764536453e-11
3443.0,5.7866610808643415e-11
3444.0,5.787292173264902e-11
3445.0,5.787437543092189e-11
3446.0,5.81587243642101e-11
3447.0,5.870427755017005e-11
3448.0,5.986768025767475e-11
3449.0,6.067603364190433e-11
3450.0,6.098277438582045e-11
3451.0,5.822276688549621e-11
3452.0,5.7826247262804387e-11
3453.0,5.72427938383413e-11
3454.0,5.685074980221749e-11
3455.0,5.650177548055524e-11
3456.0,5.561650445740085e-11
3457.0,5.5359699463464196e-11
3458.0,5.508026326705995e-11
3459.0,5.545781195381849e-11
3460.0,5.6013839400126386e-11
3461.0,5.559903232255081e-11
3462.0,5.53194781649502e-11
3463.0,5.57026334779831e-11
3464.0,5.5947541738321505e-11
3465.0,5.6372944506888345e-11
3466.0,5.652159643099175e-11
3467.0,5.6739210552159136e-11
3468.0,5.701340441421898e-11
3469.0,5.716122714050087e-11
3470.0,5.693417959307112e-11
3471.0,5.7154184163188404e-11
3472.0,5.753095916327666e-11
3473.0,5.697195493148399e-11
3474.0,5.6691047689572116e-11
3475.0,5.5595753695181216e-11
3476.0,5.568122005139564e-11
3477.0,5.5852319297278186e-11
3478.0,5.583367448935839e-11
3479.0,5.582546230842311e-11
3480.0,5.7113643675554826e-11
3481.0,5.723263876711293e-11
3482.0,5.739403743931781e-11
3483.0,5.6786592789181967e-11
3484.0,5.632641228436874e-11
3485.0,5.6998777225869546e-11
3486.0,5.732196314833793e-11
3487.0,5.824039167601214e-11
3488.0,5.837869770930482e-11
3489.0,5.836526401070685e-11
3490.0,5.7418653165441924e-11
3491.0,5.714801548650783e-11
3492.0,5.645381037644448e-11
3493.0,5.667244104556879e-11
3494.0,5.701595792717562e-11
3495.0,5.617621298692477e-11
3496.0,5.5675915267006104e-11
3497.0,5.5095657203185766e-11
3498.0,5.5507667906518066e-11
3499.0,5.678867792680009e-11
3500.0,5.6259961966897976e-11
3501.0,5.573886491250235e-11
3502.0,5.587521417771413e-11
3503.0,5.583648821083642e-11
3504.0,5.4992971981748795e-11
3505.0,5.491020832470994e-11
3506.0,5.4808737409706154e-11
3507.0,5.488466972569661e-11
3508.0,5.5041367297281596e-11
3509.0,5.579221459828254e-11
3510.0,5.5730049047797436e-11
3511.0,5.557251533949703e-11
3512.0,5.4772457402929575e-11
3513.0,5.439087721881286e-11
3514.0,5.4758232670426565e-11
3515.0,5.50005319066571e-11
3516.0,5.578457140664739e-11
3517.0,5.640076600199606e-11
3518.0,5.697088981126974e-11
3519.0,5.7647501355839736e-11
3520.0,5.7535951697440524e-11
3521.0,5.6261648118116625e-11
3522.0,5.6404984849489637e-11
3523.0,5.657566082284404e-11
